,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Fontem,100,CM,1595205145,99,5.47,9.88,65.89,2.08
376,Maltahöhe,0,NA,1595205146,48,-24.83,16.98,45.84,9.44
377,Kaitong,47,CN,1595205148,48,44.81,123.15,74.73,11.81
378,Heinola,100,FI,1595205150,77,61.21,26.04,64.4,1.12
379,Umm Kaddadah,100,SD,1595205152,64,13.6,26.69,79.77,10.33
380,‘Āhuimanu,75,US,1595205154,62,21.44,-157.84,87.8,17.22
381,Morondava,0,MG,1595205156,59,-20.28,44.28,66.94,13.53
382,Makkah al Mukarramah,99,SA,1595205025,28,21.43,39.83,86.52,1.86
383,Sur,39,OM,1595205160,73,22.57,59.53,85.95,10.89
384,Zaysan,82,KZ,1595205162,38,47.47,84.87,79.63,4.56
385,Brownsville,1,US,1595205164,55,25.9,-97.5,89.6,10.29
386,Ribeira Grande,58,PT,1595205166,76,38.52,-28.7,69.19,2.8
387,Dhidhdhoo,100,MV,1595205167,81,6.88,73.1,81.81,28.68
388,Tarboro,1,US,1595205168,59,35.9,-77.54,91.4,3.36
389,Severo-Yeniseyskiy,98,RU,1595205170,94,60.37,93.04,51.93,2.68
390,Matadi,17,CD,1595205172,84,-5.82,13.45,70.21,1.77
391,Ixtlahuacán del Río,90,MX,1595205173,47,20.87,-103.25,78.01,4.7
392,Carbonia,0,IT,1595205110,78,39.17,8.52,75.0,4.7
393,Latung,100,PH,1595205177,73,5.5,120.88,83.79,9.04
394,Palāsa,100,IN,1595205179,84,18.77,84.42,82.33,10.89
395,Pudozh,0,RU,1595205180,67,61.81,36.53,54.23,3.53
396,Wenling,91,CN,1595205183,60,28.37,121.36,86.0,13.06
397,Hambantota,100,LK,1595205184,81,6.12,81.12,79.54,5.03
398,Jammalamadugu,100,IN,1595205185,76,14.83,78.4,81.32,5.17
399,Rocha,89,UY,1595205187,92,-34.48,-54.33,64.44,4.32
400,Puerto Madryn,90,AR,1595205065,100,-42.77,-65.04,42.8,8.05
401,Shiraz,20,IR,1595205104,27,29.6,52.54,75.2,4.16
402,Taft,20,IR,1595205192,18,31.75,54.21,80.6,4.7
403,Lavrentiya,100,RU,1595205194,75,65.58,-171.0,46.92,8.3
404,San Quintín,0,MX,1595205196,56,30.48,-115.95,75.87,18.28
405,Marawi,90,PH,1595205199,81,8.0,124.29,81.0,3.0
406,Port Macquarie,2,AU,1595205201,65,-31.43,152.92,61.0,1.99
407,Port Shepstone,0,ZA,1595205202,77,-30.74,30.45,57.99,6.96
408,Langarūd,40,IR,1595205204,83,37.2,50.15,78.8,2.24
409,Bŭston,0,TJ,1595205206,53,40.52,69.33,77.0,6.71
410,Arlit,0,NE,1595205208,40,18.74,7.39,87.75,6.64
411,La Grande,1,US,1595205209,22,45.32,-118.09,89.6,5.82
412,Puerto El Triunfo,20,SV,1595205211,74,13.28,-88.55,86.0,5.82
413,Buala,26,SB,1595205213,68,-8.14,159.59,84.81,5.23
414,Karakol,30,KG,1595205215,46,42.49,78.39,62.01,1.36
415,Iqaluit,90,CA,1595205216,93,63.75,-68.51,42.8,5.82
416,Itanhaém,1,BR,1595205218,63,-24.18,-46.79,71.01,4.7
417,Bowen,90,AU,1595205219,73,-20.02,148.23,73.99,4.7
418,Nānākuli,90,US,1595205221,58,21.39,-158.15,87.01,9.17
419,Quatre Cocos,40,MU,1595205223,77,-20.21,57.76,68.0,11.41
420,Galveston,1,US,1595205224,70,29.37,-94.97,87.8,11.41
421,Saint Anthony,1,US,1595205225,42,45.02,-93.22,80.6,12.75
422,Mattru,97,SL,1595205227,98,7.62,-11.83,72.23,2.33
423,Ratnagiri,100,IN,1595205229,84,16.98,73.3,79.86,1.12
424,Luján,100,AR,1595205231,95,-34.57,-59.1,64.99,3.42
425,Olafsvik,63,IS,1595205233,79,64.89,-23.71,48.25,8.59
426,Leningradskiy,30,RU,1595205234,69,69.38,178.42,42.94,8.32
427,Aykino,0,RU,1595205236,85,62.22,49.99,52.48,7.34
428,Sabla,0,NG,1595205237,67,12.75,4.71,79.77,9.26
429,Ahipara,95,NZ,1595205238,79,-35.17,173.17,62.47,3.58
430,Sulangan,91,PH,1595205240,72,11.14,123.72,83.79,4.29
431,Chimoio,20,MZ,1595205242,100,-19.12,33.48,55.0,4.7
432,Jiamusi,100,CN,1595205244,94,46.83,130.35,61.79,16.28
433,Doha,62,QA,1595205246,79,25.29,51.53,96.01,2.24
434,Mpraeso,100,GH,1595205248,100,6.59,-0.73,68.92,5.44
435,Chilca,90,PE,1595205249,77,-12.52,-76.74,60.8,11.41
436,Mpongwe,0,ZM,1595205252,85,-13.51,28.16,51.4,10.22
437,Ucluelet,5,CA,1595205224,64,48.93,-125.55,75.0,3.36
438,Spremberg,100,DE,1595205255,90,51.57,14.37,64.99,2.89
439,Kamina,0,CD,1595205256,55,-8.74,24.99,53.8,4.0
440,Cooma,0,AU,1595205034,45,-36.23,149.13,46.4,19.46
441,Prainha,2,BR,1595205262,71,-1.8,-53.48,76.75,2.3
442,Sibolga,57,ID,1595205264,76,1.74,98.78,79.56,3.09
443,Boa Vista,75,BR,1595205066,83,2.82,-60.67,78.8,2.24
444,Jalingo,77,NG,1595205268,91,8.88,11.37,73.56,5.55
445,Coos Bay,75,US,1595205235,82,43.37,-124.22,78.01,26.4
446,Ishigaki,20,JP,1595205272,79,24.34,124.16,87.8,11.41
447,Panzós,58,GT,1595205274,84,15.4,-89.67,76.15,1.16
448,Loncoche,21,CL,1595205276,100,-39.37,-72.63,50.0,2.24
449,Taree,57,AU,1595205278,51,-31.9,152.47,60.8,9.17
450,Malé,75,MV,1595205279,70,4.17,73.51,84.2,16.11
451,Port Blair,93,IN,1595205281,75,11.67,92.75,81.88,2.42
452,Flin Flon,20,CA,1595205283,38,54.77,-101.86,73.4,4.7
453,Valparaíso,75,CL,1595205065,93,-33.04,-71.63,55.4,4.7
454,Kawhia,36,NZ,1595205286,80,-38.07,174.82,59.0,6.78
455,Griffith,1,US,1595205287,57,41.53,-87.42,82.4,5.82
456,Wajir,100,KE,1595205288,67,1.75,40.06,72.5,17.25
457,Arrondissement de Perpignan,0,FR,1595205203,68,42.75,2.75,68.0,2.24
458,Tabas,0,IR,1595205292,14,33.6,56.92,87.8,2.24
459,Husavik,75,IS,1595205294,81,66.04,-17.34,46.4,3.36
460,Allāpalli,100,IN,1595205295,90,19.42,80.07,79.25,3.42
461,Milicz,84,PL,1595205297,84,51.53,17.27,64.99,2.95
462,Maniitsoq,99,GL,1595205298,78,65.42,-52.9,50.67,1.32
463,Crotone,0,IT,1595205040,62,39.09,17.12,71.22,6.42
464,Shreveport,1,US,1595205251,49,32.53,-93.75,93.99,5.82
465,Karratha,1,AU,1595205304,60,-20.74,116.85,65.19,18.86
466,Cockburn Town,1,TC,1595205305,74,21.46,-71.14,83.73,22.08
467,Bhadrāchalam,100,IN,1595205307,92,17.67,80.88,79.18,5.19
468,Teya,97,RU,1595205309,78,60.38,92.63,57.65,2.37
469,Santa Rosa,100,PH,1595205310,74,14.31,121.11,84.99,6.93
470,Beloha,0,MG,1595205313,82,-25.17,45.05,59.99,9.55
471,Kakching,75,IN,1595205314,100,24.48,93.98,73.4,4.7
472,Taraz,50,KZ,1595205316,31,42.9,71.37,77.0,11.18
473,Dali,100,CN,1595205317,86,25.7,100.18,64.9,3.67
474,Bonavista,0,CA,1595205319,81,48.65,-53.11,58.62,4.03
475,Klaksvík,92,FO,1595205321,87,62.23,-6.59,50.0,11.41
476,Provideniya,75,RU,1595205323,66,64.38,-173.3,53.6,13.42
477,Kavaratti,100,IN,1595205325,79,10.57,72.64,81.63,12.88
478,Southbridge,11,US,1595205028,63,42.08,-72.03,86.0,10.98
479,Carroll,1,US,1595205328,52,39.55,-77.02,91.4,6.93
480,Canyon,99,US,1595205329,34,34.98,-101.92,91.99,5.99
481,Cayenne,100,GF,1595205330,88,4.93,-52.33,78.8,8.28
482,Saint-Ambroise,90,CA,1595205331,88,48.55,-71.33,73.99,9.17
483,Pacific Grove,1,US,1595205168,64,36.62,-121.92,69.01,10.29
484,Salinas,20,US,1595205335,60,36.68,-121.66,69.8,13.87
485,Peniche,5,PT,1595205336,88,39.36,-9.38,64.99,1.99
486,Aksarayskiy,40,RU,1595205338,73,46.79,48.01,73.4,1.88
487,Challapata,0,BO,1595205340,46,-18.9,-66.77,44.22,2.19
488,Chimbote,7,PE,1595205295,88,-9.09,-78.58,60.19,7.61
489,Nome,75,US,1595205342,76,64.5,-165.41,55.0,6.93
490,Phang Nga,40,TH,1595205343,94,8.45,98.53,77.0,2.24
491,Anadyr,20,RU,1595205344,66,64.75,177.48,53.6,8.95
492,Porto Santo,75,PT,1595205345,83,33.07,-16.34,69.8,9.17
493,Kaeo,100,NZ,1595205347,3,-35.1,173.78,63.0,1.99
494,Vila do Maio,75,CV,1595205348,78,15.13,-23.22,78.8,6.93
495,Athabasca,89,CA,1595205349,74,54.72,-113.29,66.78,5.32
496,Dapaong,32,TG,1595205350,86,10.86,0.2,74.75,8.3
497,Stettler,100,CA,1595205352,83,52.32,-112.72,63.88,7.96
498,Hohoe,99,GH,1595205354,92,7.15,0.47,73.27,5.26
499,Viedma,100,AR,1595205355,94,-40.81,-63.0,48.99,1.99
500,Krasne,100,UA,1595205356,93,49.91,24.61,57.2,2.24
501,Mae Ramat,40,TH,1595205357,94,16.98,98.52,77.0,1.16
502,Port Hawkesbury,90,CA,1595205358,78,45.62,-61.35,71.6,4.7
503,Abu Samrah,0,SY,1595205359,44,35.3,37.18,70.54,2.77
504,Pio XII,0,BR,1595205361,74,-3.83,-45.15,75.0,0.81
505,Kirakira,24,SB,1595205362,72,-10.45,161.92,83.95,7.34
506,Masvingo,0,ZW,1595205187,82,-20.06,30.83,46.96,4.36
507,Oriximiná,0,BR,1595205366,63,-1.77,-55.87,79.41,3.87
508,Tangi,0,PK,1595205368,55,34.3,71.65,86.07,3.67
509,Harar,82,ET,1595205369,81,9.31,42.13,58.66,11.1
510,Ami,75,JP,1595205371,83,36.03,140.2,75.2,8.05
511,Honningsvåg,100,NO,1595205372,86,70.98,25.97,51.24,3.33
512,Alexandroupoli,0,GR,1595205374,73,40.85,25.87,71.13,8.55
513,Ballina,0,AU,1595205376,37,-28.87,153.57,68.0,8.05
514,Hwange,0,ZW,1595205378,50,-18.37,26.5,52.0,3.58
515,Santa Marta,13,CO,1595205144,83,11.24,-74.2,84.0,13.24
516,Khasan,100,RU,1595205382,96,42.43,130.64,69.12,21.12
517,Samaro,100,PK,1595205384,68,25.28,69.4,86.61,18.52
518,Charlestown,0,AU,1595205385,51,-32.95,151.67,61.0,17.22
519,Joshīmath,19,IN,1595205387,56,30.57,79.57,66.54,0.51
520,Pisco,70,PE,1595205388,77,-13.7,-76.22,62.6,12.75
521,Bellefontaine,1,US,1595205390,92,40.36,-83.76,73.4,6.93
522,Yeppoon,62,AU,1595205392,60,-23.13,150.73,68.0,3.65
523,General Roca,100,AR,1595205394,81,-39.03,-67.58,48.2,5.82
524,Muyezerskiy,0,RU,1595205396,78,63.93,31.65,60.04,1.97
525,Farmington,1,US,1595205297,14,36.73,-108.22,93.2,24.16
526,Santa Maria,48,BR,1595205400,70,-29.68,-53.81,70.63,9.64
527,Kaffrine,94,SN,1595205401,88,14.11,-15.55,80.6,10.89
528,Midland,40,US,1595205319,28,32.0,-102.08,95.0,13.87
529,Tucumã,0,BR,1595205405,85,-0.18,-50.05,76.91,9.46
530,Vila,0,PT,1595205285,87,42.03,-8.16,66.0,1.99
531,Médéa,0,DZ,1595205408,88,36.26,2.75,64.4,3.36
532,Tumanyan,0,AM,1595205409,73,40.99,44.66,67.39,2.98
533,Predivinsk,100,RU,1595205411,73,57.07,93.44,60.82,4.05
534,Sompeta,100,IN,1595205413,82,18.93,84.6,83.14,13.31
535,Hobyo,92,SO,1595205415,74,5.35,48.53,76.96,24.09
536,Wangou,100,CN,1595205417,97,42.06,126.91,62.92,3.47
537,Arrondissement de Saint-Denis,6,FR,1595205419,77,48.92,2.33,66.0,5.82
538,Solnechnyy,100,RU,1595205421,64,50.72,136.63,79.32,4.36
539,Phan Thiet,89,VN,1595205263,77,10.93,108.1,82.45,3.06
540,Laurel,40,US,1595205426,55,39.1,-76.85,93.0,5.32
541,Kargasok,66,RU,1595205427,91,59.06,80.86,65.32,11.1
542,Syracuse,0,IT,1595205428,94,37.09,15.28,73.4,2.24
543,Ulladulla,0,AU,1595205430,43,-35.35,150.47,55.4,17.22
544,Mersing,20,MY,1595205431,94,2.43,103.84,77.0,5.82
545,Ketchikan,90,US,1595205434,82,55.34,-131.65,60.8,9.17
546,Darhan,0,MN,1595205436,57,49.49,105.92,59.11,3.58
547,Batticaloa,100,LK,1595205438,76,7.71,81.69,80.85,5.21
548,Itoman,40,JP,1595205439,79,26.12,127.67,86.0,9.17
549,Taltal,65,CL,1595205441,72,-25.4,-70.48,57.15,3.87
550,Petropavlovsk-Kamchatskiy,75,RU,1595205222,68,53.05,158.65,64.4,6.71
551,Tagusao,89,PH,1595205444,68,9.19,117.81,84.33,3.62
552,Tura,100,IN,1595205446,98,25.52,90.22,73.47,7.56
553,Araouane,11,ML,1595205447,32,18.9,-3.53,94.89,5.79
554,Alpena,1,US,1595205222,61,45.06,-83.43,79.0,5.82
555,Banjar,75,ID,1595205450,100,-8.19,114.97,80.6,12.75
556,Kruisfontein,0,ZA,1595205451,39,-34.0,24.73,53.01,6.38
557,Boyolangu,46,ID,1595205454,82,-8.12,111.89,77.74,7.43
558,Sakaiminato,75,JP,1595205456,66,35.55,133.23,87.8,5.82
559,Brawley,90,US,1595205232,9,32.98,-115.53,109.99,16.11
560,Harindānga,75,IN,1595205459,89,22.04,88.32,84.2,8.05
561,Camaná,100,PE,1595205460,77,-16.62,-72.71,59.49,8.05
562,Bianzhuang,0,CN,1595205462,64,34.85,118.04,79.56,3.98
563,Vestmannaeyjar,4,IS,1595205464,82,63.44,-20.27,49.64,6.4
564,Sisimiut,70,GL,1595205466,76,66.94,-53.67,51.28,4.21
565,Constitución,4,CL,1595205468,88,-35.33,-72.42,52.77,7.52
566,Tarakan,100,ID,1595205470,84,3.3,117.63,80.01,5.95
567,Quevedo,45,EC,1595205472,78,-1.03,-79.45,75.78,2.24
568,Opuwo,0,NA,1595205474,43,-18.06,13.84,52.12,9.86
569,Sovetskaya Gavan',100,RU,1595205476,82,48.97,140.29,63.63,4.88
570,Badin,100,PK,1595205380,72,24.66,68.84,86.18,19.26
571,Bud,90,US,1595205479,88,39.45,-86.18,75.2,5.82
572,Kosonsoy,0,UZ,1595205481,36,41.26,71.55,75.2,2.24
573,Krasnosel'kup,100,RU,1595205483,68,65.7,82.47,56.88,14.9
574,Winnemucca,0,US,1595205486,11,40.97,-117.74,95.0,3.0
575,Pechenga,18,RU,1595205488,93,69.53,31.17,57.2,4.7
576,Nantai,20,CN,1595205492,65,40.92,122.8,76.68,8.86
577,Arrondissement de Mulhouse,0,FR,1595205494,77,47.67,7.42,62.01,4.7
578,São Mateus do Maranhão,0,BR,1595205496,63,-4.04,-44.48,74.73,2.44
579,Ust-Maya,20,RU,1595205498,55,60.42,134.53,82.31,9.51
580,Marzuq,0,YE,1595205500,48,14.4,46.47,77.13,2.01
581,Hualmay,90,PE,1595205433,85,-11.1,-77.61,59.99,9.28
582,Trairi,44,BR,1595205505,82,-3.28,-39.27,76.96,8.97
583,Maţāy,0,EG,1595205507,61,28.42,30.78,75.18,15.03
584,Luena,0,AO,1595205509,66,-11.78,19.92,47.16,5.03
585,Kimbe,7,PG,1595205510,58,-5.55,150.14,88.88,2.8
586,Puerto Ayacucho,40,VE,1595205512,88,5.66,-67.62,78.8,2.44
587,Kilindoni,4,TZ,1595205514,72,-7.91,39.67,76.17,21.74
588,Namatanai,1,PG,1595205515,58,-3.67,152.43,86.27,5.75
589,Praia da Vitória,75,PT,1595205517,73,38.73,-27.07,69.8,5.23
590,Mīrānpur,0,IN,1595205519,88,29.3,77.93,80.74,7.36
